time,count
12:33:16,82
12:33:17,100
12:33:18,101
12:33:19,91
12:33:20,107
12:33:21,97
12:33:22,89
12:33:23,93
12:33:24,94
12:33:25,75
12:33:26,100
12:33:27,88
12:33:28,101
12:33:29,82
12:33:30,78
12:33:31,85
12:33:32,104
12:33:33,101
12:33:34,92
12:33:35,91
12:33:36,109
12:33:37,75
12:33:38,91
12:33:39,91
12:33:40,101
12:33:41,120
12:33:42,84
12:33:43,80
12:33:44,82
12:33:45,74
12:33:46,101
12:33:47,108
12:33:48,94
12:33:49,108
12:33:50,93
12:33:51,116
12:33:52,101
12:33:53,78
12:33:54,97
12:33:55,81
12:33:56,90
12:33:57,83
12:33:58,92
12:33:59,82
12:34:00,89
12:34:01,92
12:34:02,89
12:34:03,88
12:34:04,95
12:34:05,90
12:34:06,89
12:34:07,83
12:34:08,64
12:34:09,95
12:34:10,92
12:34:11,84
12:34:12,87
12:34:13,92
12:34:14,108
12:34:15,93
12:34:16,91
12:34:17,111
12:34:18,86
12:34:19,87
12:34:20,89
12:34:21,74
12:34:22,91
12:34:23,86
12:34:24,79
12:34:25,77
12:34:26,99
12:34:27,97
12:34:28,97
12:34:29,82
12:34:30,82
12:34:31,102
12:34:32,108
12:34:33,92
12:34:34,89
12:34:35,97
12:34:36,87
12:34:37,95
12:34:38,113
12:34:39,99
12:34:40,97
12:34:41,88
12:34:42,97
12:34:43,104
12:34:44,90
12:34:45,97
12:34:46,98
12:34:47,72
12:34:48,100
12:34:49,97
12:34:50,101
12:34:51,86
12:34:52,73
12:34:53,79
12:34:54,86
12:34:55,82
12:34:56,96
12:34:57,96
12:34:58,94
12:34:59,82
12:35:00,97
12:35:01,94
12:35:02,87
12:35:03,88
12:35:04,91
12:35:05,98
12:35:06,90
12:35:07,87
12:35:08,79
12:35:09,95
12:35:10,82
12:35:11,85
12:35:12,77
12:35:13,79
12:35:14,96
12:35:15,73
12:35:16,96
12:35:17,78
12:35:18,75
12:35:19,84
12:35:20,110
12:35:21,96
12:35:22,110
12:35:23,94
12:35:24,96
12:35:25,88
12:35:26,116
12:35:27,100
12:35:28,88
12:35:29,97
12:35:30,85
12:35:31,86
12:35:32,88
12:35:33,86
12:35:34,76
12:35:35,89
12:35:36,81
12:35:37,97
12:35:38,94
12:35:39,90
12:35:40,74
12:35:41,79
12:35:42,92
12:35:43,98
12:35:44,86
12:35:45,91
12:35:46,85
12:35:47,106
12:35:48,88
12:35:49,87
12:35:50,75
12:35:51,97
12:35:52,89
12:35:53,111
12:35:54,108
12:35:55,86
12:35:56,93
12:35:57,93
12:35:58,89
12:35:59,90
12:36:00,115
12:36:01,91
12:36:02,128
12:36:03,91
12:36:04,86
12:36:05,97
12:36:06,92
12:36:07,96
12:36:08,80
12:36:09,78
12:36:10,91
12:36:11,93
12:36:12,82
12:36:13,91
12:36:14,93
12:36:15,78
12:36:16,106
12:36:17,87
12:36:18,100
12:36:19,91
12:36:20,86
12:36:21,83
12:36:22,81
12:36:23,98
12:36:24,75
12:36:25,86
12:36:26,88
12:36:27,91
12:36:28,90
12:36:29,103
12:36:30,98
12:36:31,89
12:36:32,71
12:36:33,85
12:36:34,83
12:36:35,108
12:36:36,83
12:36:37,93
12:36:38,84
12:36:39,96
12:36:40,102
12:36:41,80
12:36:42,82
12:36:43,90
12:36:44,74
12:36:45,84
